scale,model_family,variant,message_id,case_type,y_true,y_pred,score,subject,body_preview,manual_observation,likely_error_source,reviewer_note
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,3b89c16185f562f72e6993ae5cad84b2674c4c54,false_negative,1,0,1.3769049676306473e-05,Jet Aircraft - Priced to sell,"
Now is the best time in years  to purchase an aircraft!
Pre-owned jet aircraft  prices are at historic lows.
Now more than ever safety,  security, control . . .
 
Omni offers the following aircraft  priced to sell!
Full pictures, specifications and price are at:   WWW.OMNIJET.COM  
 
Astra                            s/n  16
Beechjet  400            s/n  RJ-7
Beechjet  400A      s/n RK-126
Beechjet  400A      s/n RK-136
Citation  I/SP                 s/n 32
Citation  II                    s/n  6",Promotional or commercial bulk message.,promotional_bulk_message,"High-confidence error likely caused by promotional formatting, external sender patterns, or bulk-message structure."
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,1733445674021bc5b2b58dd37b2dda711d0fdfa2,false_negative,1,0,4.1660560819693925e-05,FW: Credit worthiness - Alberta,"FYI.  Please let me know if this should be forwarded to someone in ENA Canada.  Thanks. 

 -----Original Message-----
From: 	Ibrahim, Amr  
Sent:	Friday, November 02, 2001 4:47 PM
To:	Steffes, James D.; Kingerski, Harry; Nicolay, Christi L.
Cc:	Tiberi, Fino; Canovas, Guillermo; Levy, Alberto; Hemstock, Robert
Subject:	Credit worthiness - Alberta



Please find below the creditworthiness criteria for Alberta Pool.  I appreciate the help of Fino and Guillermo.
  

The credit worthiness in Alberta ",Business-operational communication with domain-specific terminology.,domain_specific_business_context,Model likely missed or over-weighted specialized business context not well represented in sparse text features.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,eb98ee08771c863157682afe86ed5557741e60b5,false_negative,1,0,4.6575494617411855e-05,Important News from Chapters.ca,"

  [IMAGE] [IMAGE] [IMAGE]      Dear john lavorato :  As a valued customer o=
f chapters.ca, we feel it's important to let you know about a significant c=
hange we will be implementing next week. As we prepare to merge Indigo and =
Chapters, we are combining the operations of both sites into chapters.indig=
o.ca. This new site will blend the best of chapters.ca and indigo.ca to cre=
ate the most efficient, engaging and entertaining online retail site for bo=
oks, music, movies, gifts, garden pr",Routine newsletter/digest or automated external information feed.,newsletter_or_automated_bulk_message,Model likely weighted bulk/external-message structure as suspicious although content appears routine.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,5c69ee296a8fb8cfab1166416da5188579eeb982,false_negative,1,0,5.13469239362005e-05,Florida Recount Update,"From: Don Evans, Chairman, Bush-Cheney Campaign

This is an urgent message to supporters of Governor George W. Bush and 
Secretary Dick Cheney regarding the situation in Florida.

It is now clear we must raise money to fund the recount effort in Florida.  
Governor Bush won the vote on Election Day, a victory confirmed by a 
recount.  Now, the other side is seeking yet a third count by hand.  There is 
a reason why ballots are counted by computer and not by hand.

The expense of the recount effo",Political or campaign-related bulk communication.,external_political_bulk_message,Weak-labeling or classifier signal may treat external mass communication as suspicious despite non-forensic routine content.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,60a6e538fdb8b99558c9e94e440505ce149b906d,false_negative,1,0,6.779283897955501e-05,FW: CSUF Detailed Study,"Jeff 

Again, here is PG&E trying to shoe horn us on this tap vs. bus connection 
issue.  If you are not familiar with this issue, EES elected to utilize the 
single tap termination @ the PG&E Bullard Substation in our proposal to 
CSUF.  This single tap option was provided to us by PG&E in their 
Informational Review.  PG&E itemized this cost in the Informational Review at 
$178,000 and this the figure we used.  

During past meetings, PG&E has stated that this tap option is no loger 
availabel",Business-operational communication with domain-specific terminology.,domain_specific_business_context,Model likely missed or over-weighted specialized business context not well represented in sparse text features.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,94867fc18d0151e72b1e5a5b0d2c65ec30bc0b6e,false_negative,1,0,8.870704153039656e-05,Trader Log In,"Kam,

As we discussed this morning, the traders will be using their physical books to log onto EOL with the exception of the financial desk (John Arnold and team).  Behind the scenes, EOL will  set these traders up in the Counterparty Alternates table to have the books ""flip"" to the respective financial book when a financial trade is hit.  

Also, any word yet on the traders wanting a different book for price, basis and index.  We are still under the assumption that the trades will book under on",Operational account/access notification.,system_or_account_access_message,Access-related terminology may resemble security-sensitive communication but content appears operational.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,b70193246d6d6b5af8f88ba0c72d2eb3d4c7ecc5,false_negative,1,0,0.0001131152396621,Sitara Reports New URL,"

 -----Original Message-----
From: 	Lattupally, Krishna  
Sent:	Wednesday, February 06, 2002 9:47 AM
To:	Elledge, Susan; Theriot, Kim S.; Anderson, Bridgette; Campos, Sylvia A.
Cc:	Krishnaswamy, Jayant; Severson, Russ
Subject:	RE: Sitara access and Sitara Reports

all,
Please use new URL for NETCO Sitara Reporting Production system.
 http://sitrpt.netco.enron.com

Russ -- Can you please let all the NETCO users know the new URL.

Thanks
Krishna





 -----Original Message-----
From: 	Krishnaswam",Operational account/access notification.,system_or_account_access_message,Access-related terminology may resemble security-sensitive communication but content appears operational.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,f4da5edbc9004887dd08aabb80e7aa4560c46fc3,false_negative,1,0,0.0003943792151254,melange: M-W's Word of the Day,"***************************************************************
Did you know Julius Caesar moved January to the head
of the year? Click here for your guide to word histories.
http://www.m-w.com/book/literead/wordhist.htm
***************************************************************

The Word of the Day for January 7 is:

melange   \may-LAHNZH or may-LAHNJ\   (noun)
     : a mixture often of incongruous elements

Example sentence:
     Critics panned the new film as an awkward melange of heavy
",Routine newsletter/digest or automated external information feed.,newsletter_or_automated_bulk_message,Model likely weighted bulk/external-message structure as suspicious although content appears routine.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,817af5152ab5ff8c524c7b3da2c1458f940480f4,false_negative,1,0,0.0005911364401215,EnTouch Newsletter,"
 

BUSINESS HIGHLIGHTS

West Power
On August 31, 2001, West Power Origination closed the sale of 100% of the membership interests in Southwest Power to Black Hills Energy Corp.  The sale to Black Hills concluded a two year strategy associated with the acquisition and expansion of the 50MW Las Vegas Cogeneration facility.   The 230MW Las Vegas II expansion project initiated in January 2000 consists of two, 2x1 systems utilizing LM 6000 PC technology in combined cycle. In May of this year, West P",Routine newsletter/digest or automated external information feed.,newsletter_or_automated_bulk_message,Model likely weighted bulk/external-message structure as suspicious although content appears routine.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,d60b1af025bf84c46af84275c9d35d72ba537ef9,false_negative,1,0,0.0023603214279275,FW: Tribute to America,"
Regards,
Amy Brock
HBD Marketing Team
Office: 281-988-2157
Cell:  713-702-6815



-----Original Message-----
From:	Rex Waller
Sent:	Wednesday, September 12,2001 5:49 PM
To:	Alfred Webb; Allen Hadaway; Allison Boren; Amy Brock; Barry Willis;
Bart Boren; Bill Boykin; Bill Cooper; Billie Cagle; Billy Lee; bob maughmen;
Bob Schuman; Bonita Johnson; Chad Wing; cheryl; Connie Stuckey; corby
goodman; craig Gardner; Dale Miller; Dan Crawford; Dan Michael; Darryl
Fuller; David Attaway; David Tucker; Deb",Positive weak-label case with limited or context-dependent lexical evidence.,weak_label_or_context_missing,Likely requires thread-level or metadata-level context beyond the available message preview.
